,Total abundance of ASVs,Maximum abundance in samples,Number of Samples
33ec25efcf6b13d4261a8fc64d1b3622,53,53,1
563ebbdc6e9519b3103c0ae4188e1613,21,21,1
23c639ffa4c19d40ad02a602118f5dea,16,16,1
116358fd6a52e945c56157fb86c85a8b,17,17,1
68eb05fd76a105b28eb7edd000ab0a84,18,18,1
4e7a51d2dcbe0be1a6918a1fef273468,18,18,1
d2a2712863e89b376a7e4692e6b3017f,40,40,1
99a147a4ba6ebfc02d364385f198fe26,27,27,1
a786aded075b3fe6e2d3b20c9852668e,33,22,2
796f13c8c2e799496572ce637d705aea,24,24,1
28e8ec72fef451ea063d34d215860feb,31,31,1
e82902ab29dbf663942a1d63f12c2a95,17,17,1
e58ef81c18e4528e614f1838f73bc299,15,15,1
6701fd252fd0926d8ad0b26e8478bcc9,22,22,1
a5124607f73448413dc696a6e346eda6,25,25,1
75014fe9f6b26cc9ea4b56470be86d44,15,15,1
3475a9aa564082e24ec69e0948a7d3a1,19,19,1
fd4edf9db7d479b28eca13b7a10f760e,15,15,1
67ea88eb57f0368724c1e5be6804043b,32,32,1
6fd3dd1b13bd9b276a4828bcd7ac7c22,23,23,1
