,Total abundance of ASVs,Number of ASVs
D124,5712.0,117
D018,5722.0,167
D125,5736.0,154
D106,5861.0,153
D097,6231.0,240
D019,6455.0,209
D113,6514.0,180
D122,6557.0,195
D014,6631.0,110
D034,6897.0,239
D108,6936.0,210
D118,7034.0,192
D082,7049.0,204
D010,7050.0,211
D051,7069.0,169
D080,7098.0,227
D105,7127.0,274
D100,7210.0,116
D012,7232.0,207
D015,7375.0,191
D123,7388.0,278
D115,7409.0,200
D119,7477.0,182
D084,7480.0,191
D016,7482.0,202
D027,7503.0,168
D033,7676.0,199
D117,7721.0,295
D009,7769.0,225
D047,7958.0,148
D107,8013.0,211
D111,8037.0,231
D032,8103.0,216
D116,8158.0,235
D040,8240.0,164
D011,8297.0,145
D013,8345.0,293
D071,8451.0,205
D096,8696.0,300
D110,8699.0,208
D029,8798.0,265
D098,9128.0,235
D039,9237.0,234
D130,9388.0,234
D067,9406.0,268
D070,9546.0,213
D037,9562.0,250
D038,9576.0,211
D057,9607.0,302
D008,9666.0,293
D089,9669.0,408
D128,9689.0,273
D087,9698.0,284
D048,9773.0,225
D031,9994.0,225
D002,10000.0,296
D072,10165.0,370
D120,10200.0,290
D035,10258.0,291
D069,10266.0,258
D081,10304.0,286
D068,10326.0,317
D006,10326.0,306
D083,10423.0,323
D103,10453.0,308
D114,10499.0,292
D121,10612.0,320
D099,10649.0,254
D085,10727.0,373
D104,10804.0,336
D055,10868.0,294
D030,10933.0,315
D022,10999.0,273
D036,11079.0,194
D003,11141.0,259
D007,11210.0,295
D095,11274.0,331
D050,11475.0,288
D126,11519.0,271
D094,11536.0,300
D086,11612.0,278
D127,11623.0,239
D101,11661.0,376
D129,11668.0,325
D091,11726.0,178
D112,11752.0,362
D078,11765.0,208
D077,11858.0,296
D001,11884.0,216
D046,12052.0,285
D092,12120.0,235
D024,12227.0,290
D026,12232.0,279
D076,12267.0,350
D049,12292.0,315
D020,12437.0,343
D079,12513.0,341
D058,12526.0,356
D042,12628.0,384
D025,13114.0,353
D066,13155.0,332
D088,13257.0,332
D059,13283.0,326
D090,13627.0,279
D023,13676.0,335
D109,13868.0,364
D102,14023.0,348
D021,14060.0,314
D075,14116.0,244
D093,14193.0,333
D041,14407.0,393
D043,14909.0,445
D074,15239.0,486
D073,15540.0,343
D005,15569.0,428
D065,15857.0,359
D064,16236.0,346
D061,18335.0,369
D062,24786.0,492
